episode,reward,steps,success
317,5.0,6,1
318,5.0,6,1
319,3.0,8,1
320,5.0,6,1
321,5.0,6,1
322,5.0,6,1
323,5.0,6,1
324,5.0,6,1
325,5.0,6,1
326,5.0,6,1
327,5.0,6,1
328,5.0,6,1
329,5.0,6,1
330,5.0,6,1
331,5.0,6,1
332,5.0,6,1
333,5.0,6,1
334,3.0,8,1
335,5.0,6,1
336,5.0,6,1
337,4.0,7,1
338,5.0,6,1
339,5.0,6,1
340,5.0,6,1
341,5.0,6,1
342,3.0,8,1
343,5.0,6,1
344,5.0,6,1
345,5.0,6,1
346,3.0,8,1
347,5.0,6,1
348,5.0,6,1
349,5.0,6,1
350,5.0,6,1
351,5.0,6,1
352,3.0,8,1
353,5.0,6,1
354,5.0,6,1
355,5.0,6,1
356,5.0,6,1
357,5.0,6,1
358,5.0,6,1
359,5.0,6,1
360,5.0,6,1
361,4.0,7,1
362,3.0,8,1
363,3.0,8,1
364,5.0,6,1
365,5.0,6,1
366,5.0,6,1
367,5.0,6,1
368,5.0,6,1
369,5.0,6,1
370,5.0,6,1
371,3.0,8,1
372,5.0,6,1
373,5.0,6,1
374,4.0,7,1
375,5.0,6,1
376,5.0,6,1
377,5.0,6,1
378,5.0,6,1
379,5.0,6,1
380,5.0,6,1
381,5.0,6,1
382,5.0,6,1
383,5.0,6,1
384,5.0,6,1
385,5.0,6,1
386,5.0,6,1
387,5.0,6,1
388,5.0,6,1
389,5.0,6,1
390,5.0,6,1
391,5.0,6,1
392,3.0,8,1
393,5.0,6,1
394,5.0,6,1
395,5.0,6,1
396,5.0,6,1
397,5.0,6,1
398,5.0,6,1
399,5.0,6,1
400,5.0,6,1
401,5.0,6,1
402,3.0,8,1
403,5.0,6,1
404,5.0,6,1
405,4.0,7,1
406,5.0,6,1
407,5.0,6,1
408,5.0,6,1
409,3.0,8,1
410,5.0,6,1
411,5.0,6,1
412,5.0,6,1
413,3.0,8,1
414,3.0,8,1
415,5.0,6,1
416,5.0,6,1
417,5.0,6,1
418,5.0,6,1
419,5.0,6,1
420,5.0,6,1
421,3.0,8,1
422,5.0,6,1
423,5.0,6,1
424,3.0,8,1
425,5.0,6,1
426,5.0,6,1
427,5.0,6,1
428,2.0,9,1
429,5.0,6,1
430,4.0,7,1
431,5.0,6,1
432,5.0,6,1
433,5.0,6,1
434,3.0,8,1
435,5.0,6,1
436,5.0,6,1
437,3.0,8,1
438,4.0,7,1
439,5.0,6,1
440,3.0,8,1
441,5.0,6,1
442,5.0,6,1
443,5.0,6,1
444,5.0,6,1
445,5.0,6,1
446,5.0,6,1
447,5.0,6,1
448,3.0,8,1
449,3.0,8,1
450,4.0,7,1
451,5.0,6,1
452,5.0,6,1
453,5.0,6,1
454,5.0,6,1
455,5.0,6,1
456,5.0,6,1
457,5.0,6,1
458,5.0,6,1
459,5.0,6,1
460,5.0,6,1
461,3.0,8,1
462,5.0,6,1
463,5.0,6,1
464,5.0,6,1
465,5.0,6,1
466,5.0,6,1
467,5.0,6,1
468,5.0,6,1
469,5.0,6,1
470,5.0,6,1
471,5.0,6,1
472,5.0,6,1
473,5.0,6,1
474,5.0,6,1
475,5.0,6,1
476,5.0,6,1
477,5.0,6,1
478,5.0,6,1
479,3.0,8,1
480,5.0,6,1
481,5.0,6,1
482,5.0,6,1
483,5.0,6,1
484,5.0,6,1
485,5.0,6,1
486,5.0,6,1
487,3.0,8,1
488,4.0,7,1
489,5.0,6,1
490,5.0,6,1
491,5.0,6,1
492,5.0,6,1
493,5.0,6,1
494,5.0,6,1
495,5.0,6,1
496,5.0,6,1
497,5.0,6,1
498,5.0,6,1
499,5.0,6,1
500,5.0,6,1
